Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,70.949997,71.370003,70.629997,70.739998,69.939514,751200
2021-08-03,71.720001,72.220001,70.779999,72.129997,71.313789,1437200
2021-08-04,72.43,73.639999,71.910004,73.43,72.599083,1898900
2021-08-05,73.910004,74.639999,73.470001,73.769997,72.935226,834600
2021-08-06,74.779999,75.870003,73.790001,73.959999,73.123077,848500
2021-08-09,74.459999,75.519997,74.209999,75.160004,74.30950899999999,727600
2021-08-10,75.58000200000001,75.699997,74.82,75.360001,74.50724,829000
2021-08-11,75.459999,75.589996,74.379997,75.019997,74.171082,767100
2021-08-12,74.949997,75.279999,74.559998,75.099998,74.25018299999999,706000
2021-08-13,76.260002,76.82,76.050003,76.589996,75.72332,1169800
2021-08-16,76.260002,76.400002,74.379997,75.230003,74.378716,1412200
2021-08-17,74.650002,76.559998,74.57,76.449997,75.5849,1617500
2021-08-18,76.230003,76.510002,75.08000200000001,75.099998,74.25018299999999,1388300
2021-08-19,74.690002,75.82,74.389999,75.389999,74.536896,1012000
2021-08-20,75.959999,76.790001,75.599998,76.739998,75.87162,1073800
2021-08-23,76.940002,78.0,76.879997,77.349998,76.474716,1868000
2021-08-24,78.690002,78.800003,77.25,77.790001,76.90974399999999,1301200
2021-08-25,77.970001,78.57,77.540001,78.480003,77.591934,2176500
2021-08-26,78.230003,78.400002,77.199997,77.25,76.375854,909700
2021-08-27,77.629997,78.33000200000001,77.32,77.93,77.04815699999999,1107200
2021-08-30,78.400002,78.900002,77.980003,78.160004,77.27555799999999,1923600
2021-08-31,79.25,79.389999,78.16999799999999,78.309998,77.423859,1653000
2021-09-01,78.849998,79.010002,78.32,78.849998,77.957748,2447400
2021-09-02,79.010002,79.16999799999999,78.059998,78.25,77.36454,2639500
2021-09-03,77.610001,78.129997,76.620003,76.639999,75.772758,1167600
2021-09-07,76.75,77.75,76.440002,77.099998,76.227547,2156200
2021-09-08,77.199997,77.400002,76.440002,76.720001,75.85185200000001,919400
2021-09-09,77.010002,77.010002,75.800003,75.83000200000001,74.971924,2257500
2021-09-10,76.050003,76.33000200000001,75.41999799999999,75.449997,74.596222,721600
2021-09-13,76.199997,76.709999,74.879997,75.199997,74.34904499999999,2283400
2021-09-14,75.339996,75.940002,73.970001,74.089996,73.25161,2378300
2021-09-15,74.68,74.769997,73.120003,73.660004,72.826477,2122200
2021-09-16,74.07,75.0,74.07,74.91999799999999,74.07222,2857800
2021-09-17,75.160004,75.43,73.970001,74.199997,73.360359,1210600
2021-09-20,72.639999,73.199997,72.099998,72.849998,72.025642,1690200
2021-09-21,73.019997,73.029999,72.279999,72.550003,71.729042,1169600
2021-09-22,72.120003,73.110001,72.120003,72.730003,71.907005,1189600
2021-09-23,73.739998,74.269997,73.559998,73.980003,73.14286,1886000
2021-09-24,74.82,75.019997,73.650002,73.650002,72.81658900000001,1055800
2021-09-27,74.410004,74.68,74.25,74.440002,73.597656,2736700
2021-09-28,73.900002,74.660004,71.800003,72.010002,71.19515200000001,1510300
2021-09-29,72.300003,73.510002,72.160004,73.239998,72.411224,2003100
2021-09-30,73.239998,73.800003,72.150002,73.089996,72.262924,1816800
2021-10-01,73.089996,73.769997,72.510002,73.709999,72.875908,2368000
2021-10-04,73.33000200000001,73.639999,72.040001,72.68,71.857567,824600
2021-10-05,73.0,73.660004,72.82,73.260002,72.431007,1014600
2021-10-06,73.379997,73.389999,72.279999,73.0,72.17394300000001,930600
2021-10-07,73.260002,73.83000200000001,73.019997,73.610001,72.777046,1298000
2021-10-08,73.449997,73.5,72.690002,72.699997,71.877335,690000
2021-10-11,73.66999799999999,73.699997,72.389999,72.599998,71.77847299999999,2740600
2021-10-12,72.57,74.099998,72.57,73.66999799999999,72.836365,2713300
2021-10-13,74.410004,74.410004,73.510002,74.160004,73.320824,2273000
2021-10-14,75.900002,76.019997,75.279999,75.68,74.823616,2192600
2021-10-15,76.230003,76.41999799999999,75.389999,75.760002,74.90271800000001,2134100
2021-10-18,75.010002,76.349998,74.949997,76.300003,75.436607,2647700
2021-10-19,76.82,78.43,76.540001,78.400002,77.51284,2477100
2021-10-20,78.239998,78.379997,77.410004,77.57,76.69223000000001,1166800
2021-10-21,77.33000200000001,77.970001,77.040001,77.699997,76.820755,883200
2021-10-22,78.0,78.0,77.139999,77.540001,76.662575,718700
2021-10-25,77.610001,77.639999,76.629997,76.68,75.812302,2529200
2021-10-26,76.910004,77.209999,75.690002,75.699997,74.843391,968400
2021-10-27,75.449997,75.889999,74.459999,75.110001,74.260071,1050900
2021-10-28,73.5,74.349998,72.900002,74.309998,73.469116,1588600
2021-10-29,73.269997,73.82,71.610001,71.910004,71.096283,2204800
2021-11-01,73.379997,73.980003,72.599998,72.849998,72.025642,1597600
2021-11-02,72.650002,73.010002,71.809998,72.059998,71.24458299999999,1862000
2021-11-03,72.059998,72.459999,71.120003,72.32,71.50164000000001,1451800
2021-11-04,72.010002,72.440002,70.949997,71.160004,70.35476700000001,1562700
2021-11-05,71.33000200000001,71.470001,70.91999799999999,71.019997,70.216347,2084400
2021-11-08,71.400002,72.050003,71.230003,71.980003,71.16548900000001,2572400
2021-11-09,71.599998,72.269997,71.519997,72.110001,71.294014,1290100
2021-11-10,71.629997,71.699997,71.099998,71.41999799999999,70.611824,1294500
2021-11-11,71.440002,71.620003,71.059998,71.349998,70.542618,829000
2021-11-12,71.260002,72.290001,71.120003,71.75,70.938087,1039700
2021-11-15,71.839996,72.339996,70.959999,70.980003,70.176804,670100
2021-11-16,71.08000200000001,71.08000200000001,70.010002,70.389999,69.593475,1439400
2021-11-17,70.07,70.459999,69.190002,70.43,69.633026,1320800
2021-11-18,70.239998,71.959999,70.209999,71.959999,71.145714,2224800
2021-11-19,71.480003,72.110001,71.410004,71.980003,71.16548900000001,1475100
2021-11-22,70.860001,70.900002,68.08000200000001,68.41999799999999,67.645767,1686200
2021-11-23,69.650002,70.540001,69.25,69.639999,68.851967,1928000
2021-11-24,69.620003,69.699997,68.66999799999999,69.400002,68.614685,872300
2021-11-26,67.239998,67.589996,66.510002,66.879997,66.123192,1173500
2021-11-29,67.589996,68.300003,67.099998,67.150002,66.39014399999999,2196900
2021-11-30,66.879997,67.0,65.339996,65.470001,64.729156,2027500
2021-12-01,67.07,67.779999,66.150002,66.300003,65.549767,2740500
2021-12-02,67.260002,67.480003,66.57,67.160004,66.400032,1934100
2021-12-03,66.760002,67.699997,65.940002,66.269997,65.520096,1335100
2021-12-06,66.099998,66.620003,65.739998,65.879997,65.134514,961400
2021-12-07,66.980003,68.239998,66.709999,67.300003,66.538445,2002000
2021-12-08,67.730003,68.400002,67.220001,67.470001,66.70652,1846300
2021-12-09,66.639999,67.129997,65.66999799999999,65.66999799999999,64.926888,1512600
2021-12-10,65.940002,66.139999,65.019997,65.339996,64.600624,1226600
2021-12-13,65.360001,65.860001,65.0,65.099998,64.36333499999999,2287000
2021-12-14,64.849998,66.129997,64.58000200000001,64.709999,63.977753,1193500
2021-12-15,65.18,65.25,62.889999,64.18,63.453751,2425400
2021-12-16,64.5,65.800003,64.5,65.129997,64.39299799999999,1511600
2021-12-17,64.099998,64.239998,62.849998,63.389999,62.672688,1059400
2021-12-20,62.07,62.220001,61.349998,61.970001,61.268761,1205600
2021-12-21,62.669998,63.599998,62.560001,63.139999,62.425518,935400
2021-12-22,63.07,64.019997,62.759998,63.509998,62.791332,1162300
2021-12-23,63.23,63.740002,63.099998,63.25,62.534275,504800
2021-12-27,63.580002,64.269997,63.25,64.010002,63.285675,599700
2021-12-28,64.18,64.660004,63.779999,64.139999,63.41420400000001,675500
2021-12-29,63.790001,64.0,63.27,63.880001,63.157146,821600
2021-12-30,64.610001,65.32,64.129997,64.709999,63.977753,1149500
2021-12-31,65.379997,65.58000200000001,64.529999,65.07,64.333679,1080600
